;
;
; Title		:	Object.dat
; Author	:	Richard Jobling
; Date		:	03/02/00
;
;
;
;
;
; (A) Object Name		[256 chars max]
; (B) Mass				[kilograms 1 to 50000]
; (C) TurnMass			[kg m^3 or some such dimension] 
; (D) Air Resistance	[scale 0 (total resistance) to 1 (zero resistance)]
; (E) Elasticity		[scale 0 (no bounce) to 1 (full bounce)]
; (F) Percent Submerged	[percentage 10 to 120]
; (G) Uproot Limit		[force magnitude required to uproot]
; (H) Collision Damage Multiplier	[0.1 - 5.0 ish]
;
; (I) Collision Damage Effect [uint8 integer 0 - 4]
;		0:none 
;		1:change_model
;		2:split_model
;		3:smash_and_damage_trafficlights
;		20:smash_completely
;		21:change_then_smash
;
;		50:smash_cardbox_completely		(only for cardbox1 & cardbox4)
;		51:smash_yellow_target_completely(bankjob2's targets)
;		60:smash_woodenbox_completely	(only for woodenbox);
;		70:smash_trafficcone_completely	(only for trafficcone);
;		80:smash_barpost_completely		(only for smashbar);
;
;		91:smash_newstandnew1			(only for newstandnew);
;		92:smash_newstandnew2			(only for newstandnew);
;		93:smash_newstandnew3			(only for newstandnew);
;		94:smash_newstandnew4			(only for newstandnew);
;		95:smash_newstandnew5			(only for newstandnew);
;
;		100:smash_blackbag				(only for blackbag)
;		110:smash_vegpalm				(only for veg_palmXXX);
;
;		120:burst_beachball				(only for beachball);
;		131:smash_beachlounge_wood		(only for wood lounges);
;		132:smash_beachlounge_towel		(only for towel lounge);
;
;
;
; (J) Special Collision Response Cases [uint8 0 - 4] 0:none(default) 1:lampost 2:smallbox 3:bigbox 4:fencepart
; (K) Camera to avoid this object (0) for no (1) for yes
;
;
;
;A		B		C	D		E		F		G	H	I	J	K
gmaf_lamp01,	900.0,		5000.0   0.99,		0.05,		50.0,		240.0,  1.0,	3,	1,	0
kickbus04,	5.0,		10.0	0.99,		0.45,		30.0,		0.0,	1.0,	0,	0,	0
barrel1,	50.0,		50.0   	0.99,		0.05,		50.0,		0.0,    1.0,	0,	0,	0
adrenaline	99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
info		99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
health		99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
subwaygate	99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	4,	0
tunnelentrance	99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	4,	0
bodyarmour	99999.0,	99999.0	0.99,		0.1,		50.0,		125.0,	1.0,	0,	0,	0
mine		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,   	1.0,	0,	0,	0
briefcase	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,   	1.0,	0,	0,	0
petrolcanm	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,   	1.0,	0,	0,	0
Money		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,   	1.0,	0,	0,	0
bar_barrier10	500.0,		5000.0	0.99,		0.05,		50.0,		350.0,	1.0,	1,	4,	0
bar_barrier12	500.0,		5000.0	0.99,		0.05,		50.0,		350.0,	1.0,	1,	4,	0
dk_camjonesdoor	99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
printdooor  		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
lf_mediastage		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
od_celldoor02		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
;firedoor,			99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	1
Electricgate,		99999.0,	99999.0	0.99,		0.1,		50.0,		0.0,  	1.0,	0,	4,	0
lamppost1,	600.0,		4000.0	0.99,		0.05,		50.0,		240.0,	1.0,	1,	1,	0
lamppost2,	1250.0,		12500.0	0.99,		0.05,		50.0,		240.0,	1.0,	1,	1,	0
lamppost3,	700.0,		6000.0	0.99,		0.05,		50.0,		240.0,	1.0,	1,	1,	0
trafficlight1,	1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
MTraffic4,	99999.0,	99999.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
MTraffic1,			1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
MTraffic2,			1500.0,		12000.0	0.99,		0.05,		50.0,		280.0,	1.0,	3,	1,	0
parkingmeter,		60.0,		100.0	0.99,		0.05,		50.0,		100.0,	1.0,	0,  2,  0    1500.0,		12000.0	0.99,		0.05,		50.0,		500.0,	1.0,	1,	1,	01,	1,	0
