#
# file: pedgrp.dat
# description: contains the list of ped groups for each zone. Each ped
#	group should contain 16 ped type names. Please dont use 'male01' in any of the pedgroups
#
Hfyst, HMYST, HMOST, HFYBU, HFYRI, BFYST, BMYST, BMYRI, WFYSH, WMOBU, WMYBU, WFYBU, WMORI, WMYRI, WFYRI, WMYCR	// default
HFYST, HMYST, HMOST, HMYRI, HMORI, BFYST, BFOST, BMYST,BMOST, WMYCR, WFYST, WMYST, WMOST, WFORI, WFOTR, WMYJG	// street1
HFYST, HFOST, HFYPR, BFYST, BFOST, BMYST, BMOST, BFYPR,BMOTR, WMYCR, WFYST, WMYST, WMOST, WFYPR, WMOTR, WMYPI	// street1 night
HFOST, HMYST, HFORI, HFYRI, HFOTR, HMOTR, BMYCR, BMOST,BMYRI, BFOTR, BMYBB, WFOST, WMYST, WMOTR, JFOTO, JMOTO	// street2
HFYST, HFYST, HMOST, HFOTR, HMOTR, HMOTR, BMYCR, BFYST,BMOST, BFOTR, BMOTR, WMYCR, WFOTR, WFOTR, WMOTR, WMOTR	// street2 night
HFYST, HMOTR, BMODK, BMYCR, BFYST, BFYST, BFOST, BMYST,BMOTR, WFOST, WMOST, WFOGO, WFOTR, JFOTO, JMOTO, HFYBE	// street3
HFYST, HFOST, HMYST, HMOST, HFYPR, HMOTR, BMYCR, BFYST,BMOST, BFYPR, BFOTR, BMOTR, BMYPI, WFYPR, WFYPR, WMOTR	// street3 night
HMOST, HFYRI, HFORI, HMYRI, BFOST, BMOST, BFYRI, BFORI,BMYRI, WMYST, WFYRI, WMYRI, WMORI, WMOGO, WMYBU, WMYJG	// street4
HFYRI, HFORI, HMYRI, BMYCR, BFYST, BMYST, BMOST, BMYRI,WFYST, WMYST, WFYRI, WFORI, WMYRI, WMORI, WMYGO, WMYJG	// street4 night
HFOST, HMYST, HMOST, HFOTR, HMOTR, BMYCR, BFOST, BMOST,BFOTR, BMOTR, WMYCR, WFOST, WMOST, WFOTR, WMOTR, WMOTR	// street5	
HFOST, HMOST, HFOTR, HMOTR, BMYCR, BFOST, BMOST, BFOTR,BMOTR, BMYPI, WMYCR, WFYST, WFOST, WMOST, WFOTR, WMOTR	// street5 night
