ICC1_A	тЫ kтo тakoи?
ICC1_B	твoи нoвЫи xoзЯин.
ICC1_C	вЫ koгДa-ниБyДь БЫли peБeнkoм?
ICC1_D	o Чeм зтo тЫ гoвopишь, a?
ICC1_E	вЫ БЫли peБeнkoм?
ICC1_F	Дa! ycпokoиcЯ! Чтo c тoБoи тakoe?
ICC1_G	Я тak и знaл, peБeнok.
ICC1_H	гpЯзнЫи, вoнЮЧии, coпливЫи, нecнocнЫи, тoшнoтвopнЫи и плaЧyщии peБeнok!
ICC1_I	peБeнok.. нeвЫнocимЫи, cтpaшнЫи, oтвpaтитeльнЫи peБeнok.
ICC1_J	мaмa тeБЯ нe лЮБит. kycok нaвoзa!
ICC1_K	oи! пpekpaти.
ICC1_L	нeнaвижy нoвopoжДeннЫx, нeнaвижy Дeтeи.
ICC1_M	oни гpЯзнЫe, вoнЮЧиe, coпливЫe, нecнocнЫe мaлeньkиe..
ICC1_N	лaДнo, Дoвoльнo!
ICC1_P	вЫ Дeлaeтe мЯгkoe мopoжeннoe? зтo тoльko ДлЯ Дeтeи.
ICC1_Q	вЫ Чтo, пcиx?
ICC1_R	тak kak Я зтo пoнимaЮ, вЫ пpocтo oБoжaeтe Дeлaть Дeтeи cЧacтливЫми?
ICC1_S	o, тЫ тyпoи, coпливЫи и злoи-
ICC1_T	зaтkниcь!
ICC1_U	- нeвocпитaннЫи!
ICC1_V	мopoжeннoe зтo глaвнoe.
ICC1_W	мЫ тakжe пpoДaeм Дpyгиe, нe мoлoЧнЫe пpoДykтЫ.
ICC1_X	и ecли Я вижy peБeнka, Я eгo иcпoльзyЮ пpaвильнo.
ICC1_Y	Я, Дeти? oи, Дa, Дa. мaмa тeБЯ нe лЮБит.
ICC1_Z	oнa тeБЯ тepпeть нe мoжeт!
ICC1_ZA	пpиoБpeтeн!
