BJM3_2	~r~xилapи мepтв!
BJM3_2A	тoмми? Дa, Я знaЮ, тЫ тoмми,
BJM3_2B	пoЧeмy eщe kтo-тo xoЧeт гoвopить co мнoи?
BJM3_2C	ok. oБcyДим пo Дopoгe -
BJM3_2D	Я пoвoжy ДлЯ тeБЯ, ecли тЫ нe cмoжeшь вoДить ДoлжнЫм oБpaзoм.
BJM3_2E	ocтaвь мeнЯ - и Я ниkoгДa нe пpoщy тeБЯ.
BJM3_4	~Д~тeБe нyжнa мaшинa!
BJM3_A	вeщи cтaнoвЯтcЯ зДecь пpиЯтнЫми.
BJM3_B	Чтo зa плaн, тoмми?
BJM3_C	плaн в тoм, Чтo тЫ пpoДoлжaeшь Дeлaть зтo kak иДиoт. нaм нyжeн вoДитeль.
BJM3_D	тoмми, Я мoгy вoДить.
BJM3_E	тЫ xoЧeшь xилapи, миcтep. нe kak yмниk из шkoлЫ Юpиcтoв.
BJM3_F	xилapи - xopoшee Дeлo. ниkтo нe eзДит тak БЫcтpo. Я ceиЧac eмy пoзвoнЮ.
BJM3_G	зи, xил, зтo фил. kak жизнь? нeт. нe гoвopи. пoтoм вcпoмним пpoшлoe.мoжeшь okaзaть мнe ycлyгy?
BJM3_H	y мeнЯ пapeнь c ceвepa. нeт, oн нe cлyжит, нo eмy нyжeн вoДитeль.
BJM3_I	зтo пoнЯтнo. okeи.
BJM3_J	Чтo oн ckaзaл?
BJM3_K	Дa, oн cДeлaeт зтo, Бeз пpoБлeм. нy, зДecь мoжeт БЫть пpoБлeмa - виДишь, oн ocтaвил  eннЫe Бyмaги.
BJM3_L	kaжeтcЯ, oн нe xoЧeт paБoтaть ни c keм, kтo нe пoБьeт eгo. Чтo-тo c eгo мaмaшeи.
BJM3_M	в лЮБoм cлyЧae, oн xoЧeт пpokaтить тeБЯ, ckaзaл, Чтo вcтpeтит тeБЯ..
BNK3_1	ok, Я Дoвeзy тeБЯ, нo тЫ БyДeшь paзвлekaть мeнЯ.
BNK3_3A	нeлeгaльнaЯ yлиЧнaЯ гoнka нaЧинaeтcЯ в вaиce.
BNK3_3B	вЫзoви вcex oфи epoв.
BNK3_3C	гoнщиkи, зтo нeзakoннo и зaпpeщeнo!
