BM2_1	xaocмeтp:
BM2_2	~Д~тЫ Дoлжeн paзoБpaтьcЯ c xaoc мeтpoм зa вpeмЯ, Чтo БЫлo ДлЯ нac, тЫ kpyтoи!
BM2_3	~Д~звykoвoи инДиkaтop пokaзЫвaeт, Чтo вЫ Дocтигли Чacти мeтpa, пpoДoлжaитe.
BM2_4	~r~вЫ нe Дocтигли xaoc мeтpa вoвpeмЯ!
BM2_A	ax, xoЧy cнoвa.
BM2_B	зи вepЧeтти.
BM2_C	caxapok гoвopит, Чтo тЫ yмeeшь oБpaщaтьcЯ c Бaиkoм.
BM2_D	Дa, ckoльko мнe eщe пpeпЯтcтвии?
BM2_E	Я oЧeнь зaнЯт.
BM2_F	ecли зтo Дpaka, Чтo пokaжeт зтo.
BM2_G	cтaнь oДним из нac Бaз ccop. зтo Чacть ceмьи.
BM2_H	Дa, Я yжe БЫл в ceмьe. тeпepь Я нe paБoтaЮ.
BM2_I	Дa, тЫ пpaв, нo зтa ceмьЯ пoзaБoтитcЯ o тeБe.
BM2_J	мЫ нe пpocим вЫпoлнЯть гpЯзнyЮ paБoтy 15 лeт пoДpЯД.
BM2_K	Дa, знaЮ. Я знaЮ.
BM2_L	зтo нaиБoльшaЯ ceмьЯ нa пoБepeжьe.
BM2_M	Чepт, нekoтopЫx из нac пpeДaлa нaшa cтpaнa.
BM2_N	Я зaпepт нaмoм. cpoЧнo зaнЯт.
BM2_O	пoЧeмy Я Дoлжeн пpocить тeБЯ o БecпopЯДkax c мyжЧинoи.
BM2_P	зтo cтpaнa зacлyживaeт пинka в зaД, и мЫ зтo cДeлaeм.
BM2_Q	итak, yxoДи oтcЮДa, вoзьми Бaиk и пokaжи гopoДy!
BM2_R	xopoшo, xopoшo.
