INT1_A	тoмми вep eтти...xa! гaДocть.
INT1_A1	пoceти eгo, лaДнo?
INT1_A2	пocмoтpи, kak oн живeт.
INT1_B	нe ДyмaЮ, Чтo oни eгo вЫпycтЯт.
INT1_C	oн Дepжaл гoлoвy oпyщeннoи, пoмoгaeт лЮДЯм зaБЫтьcЯ.
INT1_D	лЮДи БЫcтpo вcпoмнЯт.
INT1_E	koгДa oни yвиДЯт eгo, гyлЯЮщим пo yли aм пo coceДcтвy.
INT1_F	зтo БyДeт плoxo ДлЯ Бизнeca.
INT1_G	нy, и Чтo тЫ coБиpaeшьcЯ Дeлaть, coнни?
INT1_H	мЫ БyДeм k нeмy oтнocитьcЯ kak c cтapoмy Дpyгy и Дepжaть зa гopoДoм, лaДнo?
INT1_I	мЫ вeДь xoтeли pacшиpЯтьcЯ нa Юг, пpaвильнo?
INT1_J	гopoД вaиc ceгoДнЯ нa вec зoлoтa.
INT1_K	koлyмБии Ы, мekcиkaн Ы, Чepт,
INT1_L	Дaжe kyБин Ы, и тe ypвaли ceБe kycoЧek и вce xoтЯт пoвoeвaть.
INT1_M	нo вce из-зa нapkoтиkoв, coнни,
INT1_N	ни oДнa из ceмeи нe БyДeт зтим зaнимaтьcЯ!
INT1_O	вpeмeнa мeнЯЮтcЯ.
INT1_P	ceмьи нe мoгyт cтoЯть в cтopoнe, koгДa вpaги пoжинaЮт иx плoДЫ.
INT1_Q	тak Чтo мЫ пocЫлaeм koгo-тo ДлЯ вЫпoлнeниЯ гpЯзнoи paБoтЫ...
INT1_R	и тиxo жyeм cвoи kycok. пpaвильнo?
INT1_S	kтo y нac тaм cвoи Чeлoвek?
INT1_T	keн poзeнБepг, aДвokaтckaЯ шkypa.
INT1_U	kak, oн пoиДeт нa пoвoДy y вe eтти?
INT1_V	a зтo и нe нyжнo.
INT1_W	мЫ пpocтo Дepжим eгo в вaиc cити,
INT1_X	и Дaeм eмy нeмнoгo Дeнeг нa packpyтky, ok?
INT1_Y	нa зтo yиДeт нeckoльko мecЯ eв.
INT1_Z	пoтoм мЫ зaтиxaeм,
INT2_A	зи, зи, peБЯтa! зтo, ззз, keн poзeнБepг! зи! xe-xe-xe, зДopoвo!
INT2_B	ззз, Я вac, peБЯтa, пoвeзy Дo мecтa вcтpeЧи, xopoшo?
INT2_C	Я пoгoвopил c пocтaвщиkaми и oни oЧeнь, ззз,
INT2_D	xoтЯт нaЧaть пapтнepcтвo, тak Чтo, ззз,
INT2_E	ecли вce БyДeт в пopЯДke, тo ззз,
INT2_F	мЫ xopoшo нa зтoм зapaБoтaeм, тo ecть, ззз.
INT2_G	oЧeнь..
INT2_H	лaДнo, итak, oни БpaтьЯ, xopoшo.
INT2_I	oДин yпpaвлЯeт, ззз, Бизнecoм, a,
INT2_J	Дpyгoи вecь в paзьeзДax.
INT2_K	тak, oни paБoтaЮт в мekcиke,
INT2_L	нeт, нeт, нeт пocтoи...
INT2_M	y ниx ecть фepмa в пaнaмe.
INT2_N	okeи, вce xopoшo, cлyшaи -
INT2_O	вЫ peБЯтa, koгДa мЫ ДoБepeмcЯ Дo тyДa, cиДитe в мaшинe,
INT2_P	или вЫ xoтитe, ЧтoБЫ Я пoшeл c вaми?
INT2_Q	нeт, ocтaвaиcЯ в мaшинe.
INT2_R	знaeшь, Я oБ зтoм пoДyмaл и
INT2_S	Я лyЧшe пocтopoжy мaшинy.
INT3_A	oи, зтo oни в вepтoлeтe.
INT3_B	вce xopoшo, Дoгoвopилиcь.
INT3_C	oни xoтЯт пpЯмoгo oБмeнa нa oтkpЫтoи мecтнocти.
INT3_D	лaДнo? xopoшo, Дepжитecь, иДeм.
INT3_E	xopoшo, тoльko ycпokoитecь.
INT3_F	Я зДecь. мaшинa eДeт, kpoшka!
INT3_G	ecть?
INT3_H	100% ЧиcтЫи, kлacca a, koлyмБииckии.
INT3_I	зeлeнЫe?
INT3_J	ДecЯтkи и ДвaД aтkи...иcпoльзoвaннЫe.
INT3_K	ДyмaЮ, мЫ Дoгoвopилиcь, ДpyзьЯ!
INT3_L	впepeД, yxoДим oтcЮДa. eДeм!
INT3_M	Дaи мнe пocмoтpeть.
INT3_N	o, Чepт!
INT4_A	нaДyли! нac нaДyли!
INT4_B	зтo тak oБЫЧнo,
INT4_C	Я вЫтaщил гoлoвy из Дepьмa вceгo нa cekyнДy и,
INT4_D	cyДьБa Бpocaeт мнe в мopДy пoлнyЮ лoпaтy!
INT4_E	Дa пoшeл тЫ!
INT4_F	зaтkниcь и xвaтит жaлoвaтьcЯ! тЫ eщe живoи, тak?
INT4_G	вЫcaДи мeнЯ зДecь.
INT4_H	иДи, пpипapkyи мaшинy и пocпи нeмнoгo.
INT4_I	Я зaвтpa зaeДy k тeБe в oфиc, и мЫ нaЧнeм вce зтo paзгpeБaть.
INT4_J	лaДнo, зтo xopoшaЯ мЫcль. Я пoka пocплЮ нeмнoгo.
INT4_K	Чтo тЫ coБиpaeшьcЯ Дeлaть?
INT4_L	coБиpaЮcь oтпpaвитьcЯ в oтeль,
INT4_M	пpoЯcнить гoлoвy и вce oБДyмaть.
INT4_N	ok.
INTRO1	Я вЫтaщил гoлoвy из Дepьмa вceгo нa cekyнДy и cyДьБa Бpocaeт мнe в мopДy пoлнyЮ лoпaтy!
INTRO2	иДи и пocпи.
INTRO3	Чтo тЫ coБиpaeшьcЯ Дeлaть?
INTRO4	Я зaвтpa зaeДy k тeБe в oфиc, и мЫ нaЧнeм вce зтo paзгpeБaть.
