DILDO	тoпливo:
POR2_01	~Д~в cтyДии cтoит cтapЫи гиДpoплaн, koтopЫи koгДa-тo иcпoльзoвaлcЯ в фильмax инДи.
POR2_02	~Д~вЫБepитe oДнy из koнтpoльнЫx тoЧek, ЧтoБЫ cБpacЫвaть флaepЫ.
POR2_03	~Д~cБpocьтe вce флaepЫ, нaЧинaЯ oт cтapтoвoи тoЧkи.
POR2_04	~r~мaлo тoпливa!!!
POR2_05	~Д~иcпoльзyитe eгo, ЧтoБЫ pacпpocтpaнить флaepЫ пo гopoДy.
POR2_A	kak cьeмkи, cтив?
POR2_B	нy, keнДи нopмaльнaЯ, a вoт зтa нoвeньkaЯ пpocтo нeнacЫтнaЯ!
POR2_C	oнa пpoшлacь пo вceмy cocтaвy и paБoЧим, Я Дaжe нe ycпeл ee пpocлyшaть.
POR2_D	зaвтpa мЫ БyДeм cнимaть c eнЫ нa лoДke -
POR2_E	kakoи eщe лoДke?
POR2_F	pЫБakи нaxoДЯтcЯ в пopЫвe cтpacти, koгДa внeзaпнo пoЯвлЯeтcЯ гигaнтckaЯ akyлa -
POR2_G	Чтo Я ckaзaл o гигaнтckoи akyлe?
POR2_H	Я ckaзaл, ниkakиx akyл, пpaвильнo?
POR2_I	пpocтo  eльcЯ kaмepoи в caмЫe жapkиe мecтa!
POR2_J	лaДнo, лaДнo, тoмми, пapeнь пocтapaeтcЯ?
POR2_K	нaпeЧaтaи пoka Чтo флaepЫ?
POR2_L	Дa, нo мнe kaжeтcЯ, Чтo иx пpocтo нe koмy БyДeт paзБpacЫвaть
POR2_M	oни пpocтo, ззз, нeДocтaтoЧнo изoБpeтaтeльнЫ.
POR2_N	нe вoлнyиcЯ oБ зтoм.
POR2_O	y мeнЯ cвoи мeтoДЫ pacпpocтpaнeниЯ.
POR2_P	ok зи, keнДи, ззз - в мoeм тpeилepe.
POR2_Q	oи.
PORN2_9	~Д~y вac  ~1~ cekyнД ЧтoБЫ вepнyтьcЯ в caмoлeт, пoka нe koнЧилacь миccиЯ.
