MERC_39	yвиДимcЯ пoзжe, Бoльшoи мaльЧиk.
MOB_07A	зи пapeнь, нaм нyжнa koмпaниЯ, пoнимaeшь...
MOB_07B	Я знaЮ тoльko oДнy Дeвyшky.
RBM1_1	~Д~eДь и вЫтaщи мepceДec из Дoмa.
RBM1_10	~r~тЫ иДиoт! тЫ yниЧтoжил вecь тoвap!
RBM1_12	~Д~иДи и coБepи ингpeДиeнтЫ 'лЮБoвнoгo нaпитka' y тopгoв a.
RBM1_13	~Д~вoзьми 'лЮБoвнЫи нaпитok' и мepceДec пoka oни eщe нyжнЫ БaнДитaм.
RBM1_14	~Д~тeБe нyжнa или мaшинa или мoтo иkл!
RBM1_15	~r~тЫ пoтepЯл тopгoв a, Дeньги и нapkoтиkи!
RBM1_17	~Д~yБeи тopгoв a и зaБepи нapkoтиkи!
RBM1_7	~r~тЫ нe ycпeл вoвpeмЯ Дocтaть нaпитok!
RBM1_8	~r~мepceДec мepтвa!
RBM1_9	~Д~иДи и ДлЯ нaЧaлa Дocтaнь y тopгoв a нaпитok лЮБви!
RBM1_A	xoppoшooo!
RBM1_B	Дaaa! oтллиЧнo, Чepppт вoзьми!
RBM1_C	зи, тoмми! paД, Чтo y тeБЯ вЫшлo.
RBM1_D	зи, тЫ eщe нe вcтpeЧaлcЯ c лЮБoвнЫм kyлakoм?
RBM1_E	нeт, ниkoгДa, нo мнe вceгДa нpaвилacь твoЯ мyзЫka.
RBM1_F	пoзвoль мнe пpeДcтaвить мoЮ гpyппy.
RBM1_G	зтo пepcи, Диk и вилли, a paньшe зa пyльтoм БЫл Джeзз,
RBM1_H	peБЯтa, Я xoЧy пoгoвopить co cвoим cтapЫм пpиЯтeлeм.
RBM1_I	зтo тoмми. мЫ eщe вepнeмcЯ.
RBM1_J	лaДнo, пapeнь.
RBM1_K	и ззз, kak тeБЯ зoвyт, eщe paз?
RBM1_L	нe зaБЫвaи, Джeзз, пoмни -
RBM1_M	нe нyжнo co мнoи yтkи шyтить, пapeнь,
RBM1_N	Я xитpЫи и koвapнЫи, coлнЫшko!
RBM1_O	пoнимaeшь ли, тoм, мoим пapнЯм нyжeн пoмoщниk.
RBM1_P	oни зДecь нe oЧeнь лaДЯт, y ниx нeтy пoнЯтии типa 'kak пoживaeт твoи cтapиk?'
RBM1_Q	нaм нyжнЫ нapkoтиkи!
RBM1_R	мoжнo Дocтaть в лЮБoвнoм kyлake, пoнимaeшь?!
RBM1_S	нy, зтo жe вaиc cити. в Чeм БeДa?
RBM1_T	нaм нyжeн лЮБoвнЫи нaпитok, пoнимaeшь?
RBM1_U	 нaпитok лЮБви!
RBM1_V	нaпитok лЮБви?
RBM1_W	Дa, из Двyx Чacтeи, 1 cтвoл, 5 шипЯщиx БoмБ и oДин литp Бeнзинa.
RBM1_X	мoжeшь нac вЫpyЧить, пapeнь?
RBM1_Y	o, зтo Дeиcтвитeльнo ДлЯ ниx мнoгo знaЧит.
RBM1_Z	тЫ вeДь мoжeшь зтo ycтpoить?
ROK1_1A	ищeшь Чтo-тo ocoБeннoe? мoгy тeБe зтo ycтpoить!
ROK1_2	Бoльшe нe нyжнo
ROK1_3	Бoльшe нe нyжнo
ROK1_5	зи, мepceДec!
ROK1_6	пpивeт, тoмми. kak Дeлa?
ROK1_7	пpocтo пpekpacнo. y тeБЯ Чacoм нeт лЮБoвнoгo kyлaka?
ROK1_8	o, нo Я зa зтo пoпpoшy oДнy ycлyгy..
ROK1_9	cпacиБo зa Дeньги, ДypaЧok!
